mean_test_score,std_test_score,param_modelNN__l1,param_modelNN__l2
0.43204000000000004,0.018295092238083954,48,48
0.42241999999999996,0.00726619570339252,48,16
0.42098,0.013287196845083619,48,32
0.41714,0.015809693229155337,32,16
0.40372,0.0063186707462883265,32,32
0.40137999999999996,0.020662952354395057,32,48
0.38239999999999996,0.01691129799867533,48,48
0.36512,0.013288099939419483,48,16
0.36197999999999997,0.028776128996096734,48,32
0.3544,0.006321075857795087,32,48
0.34506,0.018022608024367615,16,32
0.34084,0.01089487953122933,32,32
0.32685999999999993,0.054841393125995626,16,16
0.32468,0.026414723167203565,32,16
0.30062,0.018796957200568398,48,48
0.29702,0.06139226009848472,16,48
0.28374,0.0314506979254833,48,16
0.27974,0.04080581331134082,16,48
0.266,0.0517576274572164,16,16
0.26338,0.052104717636697724,48,32
0.2592,0.042461040966985254,32,48
0.24172000000000002,0.04597157382557183,32,32
0.22798,0.02192655011624036,32,16
0.21939999999999998,0.03564261494335117,16,32
0.21836000000000003,0.030020299798636255,16,32
0.19526,0.011165769118157509,16,48
0.19075999999999999,0.029018518225436666,16,16
